lon,lat,rate
171.9500,-42.4500,0.0000007812
172.0500,-42.4500,0.0000007812
172.0500,-42.3500,0.0000007812
172.1500,-42.5500,0.0000007812
172.1500,-42.4500,0.0000007812
172.1500,-42.3500,0.0000007812
172.2500,-42.4500,0.0000007812
172.2500,-42.3500,0.0000007812
172.2500,-42.2500,0.0000007812
172.3500,-42.4500,0.0000007812
172.3500,-42.3500,0.0000007812
172.3500,-42.2500,0.0000007812
172.3500,-42.1500,0.0000007812
172.4500,-42.4500,0.0000007812
172.4500,-42.3500,0.0000007812
172.4500,-42.2500,0.0000007812
172.4500,-42.1500,0.0000007812
172.4500,-42.0500,0.0000007812
172.5500,-42.4500,0.0000007812
172.5500,-42.3500,0.0000007812
172.5500,-42.2500,0.0000007812
172.5500,-42.1500,0.0000007812
172.5500,-42.0500,0.0000007812
172.5500,-41.9500,0.0000007812
172.6500,-42.4500,0.0000077405
172.6500,-42.3500,0.0000033115
172.6500,-42.2500,0.0000007812
172.6500,-42.1500,0.0000007812
172.6500,-42.0500,0.0000007812
172.6500,-41.9500,0.0000007812
172.6500,-41.8500,0.0000007812
172.7500,-42.4500,0.0000216753
172.7500,-42.3500,0.0000222487
172.7500,-42.2500,0.0000152024
172.7500,-42.1500,0.0000007812
172.7500,-42.0500,0.0000007812
172.7500,-41.9500,0.0000007812
172.7500,-41.8500,0.0000007812
172.8500,-42.4500,0.0000496826
172.8500,-42.3500,0.0000533434
172.8500,-42.2500,0.0000457811
172.8500,-42.1500,0.0000267362
172.8500,-42.0500,0.0000007812
172.8500,-41.9500,0.0000007812
172.8500,-41.8500,0.0000007812
172.8500,-41.7500,0.0000007812
172.9500,-42.4500,0.0001030402
172.9500,-42.3500,0.0001046946
172.9500,-42.2500,0.0000972815
172.9500,-42.1500,0.0000761132
172.9500,-42.0500,0.0000362651
172.9500,-41.9500,0.0000065705
172.9500,-41.8500,0.0000007812
172.9500,-41.7500,0.0000007812
172.9500,-41.6500,0.0000007812
173.0500,-42.4500,0.0001866026
173.0500,-42.3500,0.0001928873
173.0500,-42.2500,0.0001868372
173.0500,-42.1500,0.0001626176
173.0500,-42.0500,0.0001153668
173.0500,-41.9500,0.0000750018
173.0500,-41.8500,0.0000477848
173.0500,-41.7500,0.0000182478
173.0500,-41.6500,0.0000007812
173.1500,-42.5500,0.0002478681
173.1500,-42.4500,0.0003003429
173.1500,-42.3500,0.0003241324
173.1500,-42.2500,0.0003196696
173.1500,-42.1500,0.0002889279
173.1500,-42.0500,0.0002383904
173.1500,-41.9500,0.0001810245
173.1500,-41.8500,0.0001260629
173.1500,-41.7500,0.0000787238
173.1500,-41.6500,0.0000372105
173.1500,-41.5500,0.0000007812
173.2500,-42.4500,0.0004372144
173.2500,-42.3500,0.0004786313
173.2500,-42.2500,0.0004808218
173.2500,-42.1500,0.0004446930
173.2500,-42.0500,0.0003855533
173.2500,-41.9500,0.0003064174
173.2500,-41.8500,0.0002169219
173.2500,-41.7500,0.0001514371
173.2500,-41.6500,0.0000985599
173.2500,-41.5500,0.0000455847
173.2500,-41.4500,0.0000007812
173.3500,-42.4500,0.0005701748
173.3500,-42.3500,0.0006398595
173.3500,-42.2500,0.0006646818
173.3500,-42.1500,0.0006372829
173.3500,-42.0500,0.0005680173
173.3500,-41.9500,0.0004641167
173.3500,-41.8500,0.0003262530
173.3500,-41.7500,0.0002493731
173.3500,-41.6500,0.0001772014
173.3500,-41.5500,0.0001029971
173.3500,-41.4500,0.0000352220
173.3500,-41.3500,0.0000007812
173.4500,-42.4500,0.0006791494
173.4500,-42.3500,0.0007919137
173.4500,-42.2500,0.0008625040
173.4500,-42.1500,0.0008496862
173.4500,-42.0500,0.0007736723
173.4500,-41.9500,0.0006613270
173.4500,-41.8500,0.0005228353
173.4500,-41.7500,0.0003928560
173.4500,-41.6500,0.0002740306
173.4500,-41.5500,0.0001667970
173.4500,-41.4500,0.0000779708
173.4500,-41.3500,0.0000040502
173.5500,-42.4500,0.0007543776
173.5500,-42.3500,0.0009075358
173.5500,-42.2500,0.0010581676
173.5500,-42.1500,0.0010392387
173.5500,-42.0500,0.0009630014
173.5500,-41.9500,0.0008660078
173.5500,-41.8500,0.0007119216
173.5500,-41.7500,0.0005429816
173.5500,-41.6500,0.0003813479
173.5500,-41.5500,0.0002374189
173.5500,-41.4500,0.0001204722
173.5500,-41.3500,0.0000279914
173.5500,-41.2500,0.0000007812
173.6500,-42.4500,0.0007611539
173.6500,-42.3500,0.0009294332
173.6500,-42.2500,0.0010753506
173.6500,-42.1500,0.0011104181
173.6500,-42.0500,0.0010804300
173.6500,-41.9500,0.0010267413
173.6500,-41.8500,0.0008608004
173.6500,-41.7500,0.0006743176
173.6500,-41.6500,0.0004862450
173.6500,-41.5500,0.0003079320
173.6500,-41.4500,0.0001566122
173.6500,-41.3500,0.0000448732
173.6500,-41.2500,0.0000007812
173.6500,-41.1500,0.0000007812
173.7500,-42.4500,0.0006970531
173.7500,-42.3500,0.0008747613
173.7500,-42.2500,0.0010176523
173.7500,-42.1500,0.0010980499
173.7500,-42.0500,0.0011163995
173.7500,-41.9500,0.0010731660
173.7500,-41.8500,0.0009551872
173.7500,-41.7500,0.0007838460
173.7500,-41.6500,0.0005816146
173.7500,-41.5500,0.0003686760
173.7500,-41.4500,0.0001788658
173.7500,-41.3500,0.0000534323
173.7500,-41.2500,0.0000007812
173.7500,-41.1500,0.0000007812
173.7500,-41.0500,0.0000007812
173.7500,-40.9500,0.0000007812
173.8500,-42.4500,0.0005945034
173.8500,-42.3500,0.0007895271
173.8500,-42.2500,0.0009460406
173.8500,-42.1500,0.0010619704
173.8500,-42.0500,0.0011246855
173.8500,-41.9500,0.0011179246
173.8500,-41.8500,0.0010392280
173.8500,-41.7500,0.0008886616
173.8500,-41.6500,0.0006804338
173.8500,-41.5500,0.0004386102
173.8500,-41.4500,0.0001885558
173.8500,-41.3500,0.0000719365
173.8500,-41.2500,0.0000013991
173.8500,-41.1500,0.0000007812
173.8500,-41.0500,0.0000007812
173.8500,-40.9500,0.0000007812
173.8500,-40.8500,0.0000007812
173.9500,-42.3500,0.0006745597
173.9500,-42.2500,0.0008564641
173.9500,-42.1500,0.0010093992
173.9500,-42.0500,0.0011212793
173.9500,-41.9500,0.0011624140
173.9500,-41.8500,0.0011362713
173.9500,-41.7500,0.0010085796
173.9500,-41.6500,0.0007989808
173.9500,-41.5500,0.0005560329
173.9500,-41.4500,0.0003215738
173.9500,-41.3500,0.0001662505
173.9500,-41.2500,0.0000556881
173.9500,-41.1500,0.0000007812
173.9500,-41.0500,0.0000007812
173.9500,-40.9500,0.0000007812
173.9500,-40.8500,0.0000007812
173.9500,-40.7500,0.0000018767
173.9500,-40.6500,0.0000168105
174.0500,-42.4500,0.0003319528
174.0500,-42.3500,0.0005439140
174.0500,-42.2500,0.0007526726
174.0500,-42.1500,0.0009368268
174.0500,-42.0500,0.0010838889
174.0500,-41.9500,0.0011885036
174.0500,-41.8500,0.0012489543
174.0500,-41.7500,0.0011379078
174.0500,-41.6500,0.0009254985
174.0500,-41.5500,0.0007012753
174.0500,-41.4500,0.0004941844
174.0500,-41.3500,0.0003183184
174.0500,-41.2500,0.0001657427
174.0500,-41.1500,0.0000599721
174.0500,-41.0500,0.0000311855
174.0500,-40.9500,0.0000261671
174.0500,-40.8500,0.0000379875
174.0500,-40.7500,0.0000590864
174.0500,-40.6500,0.0000778842
174.0500,-40.5500,0.0000852766
174.0500,-40.4500,0.0000818190
174.1500,-42.4500,0.0001840959
174.1500,-42.3500,0.0004141829
174.1500,-42.2500,0.0006467999
174.1500,-42.1500,0.0008549248
174.1500,-42.0500,0.0010267706
174.1500,-41.9500,0.0011640635
174.1500,-41.8500,0.0012489057
174.1500,-41.7500,0.0011912377
174.1500,-41.6500,0.0010313292
174.1500,-41.5500,0.0008401578
174.1500,-41.4500,0.0006701836
174.1500,-41.3500,0.0004974280
174.1500,-41.2500,0.0003308462
174.1500,-41.1500,0.0001960925
174.1500,-41.0500,0.0001148695
174.1500,-40.9500,0.0000853193
174.1500,-40.8500,0.0000934374
174.1500,-40.7500,0.0001238845
174.1500,-40.6500,0.0001507700
174.1500,-40.5500,0.0001535858
174.1500,-40.4500,0.0001433505
174.1500,-40.3500,0.0001258111
174.2500,-42.5500,0.0000007812
174.2500,-42.4500,0.0000763478
174.2500,-42.3500,0.0003032736
174.2500,-42.2500,0.0005419378
174.2500,-42.1500,0.0007642421
174.2500,-42.0500,0.0009474697
174.2500,-41.9500,0.0011011284
174.2500,-41.8500,0.0011944592
174.2500,-41.7500,0.0011999995
174.2500,-41.6500,0.0011277934
174.2500,-41.5500,0.0010092338
174.2500,-41.4500,0.0008677365
174.2500,-41.3500,0.0006984001
174.2500,-41.2500,0.0005104700
174.2500,-41.1500,0.0003300645
174.2500,-41.0500,0.0001922918
174.2500,-40.9500,0.0001326743
174.2500,-40.8500,0.0001392043
174.2500,-40.7500,0.0001849606
174.2500,-40.6500,0.0002335846
174.2500,-40.5500,0.0002218538
174.2500,-40.4500,0.0002066469
174.2500,-40.3500,0.0001836798
174.2500,-40.2500,0.0001531067
174.3500,-42.4500,0.0000256016
174.3500,-42.3500,0.0002095338
174.3500,-42.2500,0.0004239744
174.3500,-42.1500,0.0006428653
174.3500,-42.0500,0.0008488656
174.3500,-41.9500,0.0010329238
174.3500,-41.8500,0.0011550084
174.3500,-41.7500,0.0012198435
174.3500,-41.6500,0.0012304850
174.3500,-41.5500,0.0011886174
174.3500,-41.4500,0.0010912177
174.3500,-41.3500,0.0009282475
174.3500,-41.2500,0.0007113834
174.3500,-41.1500,0.0004708094
174.3500,-41.0500,0.0002483653
174.3500,-40.9500,0.0001696456
174.3500,-40.8500,0.0001744639
174.3500,-40.7500,0.0002149303
174.3500,-40.6500,0.0002622992
174.3500,-40.5500,0.0002779693
174.3500,-40.4500,0.0002703135
174.3500,-40.3500,0.0002438869
174.3500,-40.2500,0.0002049397
174.3500,-40.1500,0.0001600918
174.4500,-42.3500,0.0001103184
174.4500,-42.2500,0.0002991499
174.4500,-42.1500,0.0005130679
174.4500,-42.0500,0.0007316726
174.4500,-41.9500,0.0009414568
174.4500,-41.8500,0.0011097203
174.4500,-41.7500,0.0012417185
174.4500,-41.6500,0.0013364813
174.4500,-41.5500,0.0013771739
174.4500,-41.4500,0.0013449007
174.4500,-41.3500,0.0011948416
174.4500,-41.2500,0.0009449816
174.4500,-41.1500,0.0006563971
174.4500,-41.0500,0.0003811447
174.4500,-40.9500,0.0002567713
174.4500,-40.8500,0.0002185076
174.4500,-40.7500,0.0002363062
174.4500,-40.6500,0.0002960934
174.4500,-40.5500,0.0003399867
174.4500,-40.4500,0.0003419014
174.4500,-40.3500,0.0003077022
174.4500,-40.2500,0.0002563971
174.4500,-40.1500,0.0002001417
174.4500,-40.0500,0.0001445405
174.5500,-42.3500,0.0000064982
174.5500,-42.2500,0.0001745426
174.5500,-42.1500,0.0003823953
174.5500,-42.0500,0.0006015890
174.5500,-41.9500,0.0008306729
174.5500,-41.8500,0.0010504085
174.5500,-41.7500,0.0012501160
174.5500,-41.6500,0.0014227262
174.5500,-41.5500,0.0015560974
174.5500,-41.4500,0.0016288278
174.5500,-41.3500,0.0014861780
174.5500,-41.2500,0.0011882600
174.5500,-41.1500,0.0008765467
174.5500,-41.0500,0.0005988775
174.5500,-40.9500,0.0004042344
174.5500,-40.8500,0.0002872686
174.5500,-40.7500,0.0002688475
174.5500,-40.6500,0.0003592425
174.5500,-40.5500,0.0004309203
174.5500,-40.4500,0.0004297582
174.5500,-40.3500,0.0003724329
174.5500,-40.2500,0.0003034100
174.5500,-40.1500,0.0002345338
174.5500,-40.0500,0.0001696033
174.6500,-42.2500,0.0000869323
174.6500,-42.1500,0.0002637905
174.6500,-42.0500,0.0004666566
174.6500,-41.9500,0.0007221906
174.6500,-41.8500,0.0009846337
174.6500,-41.7500,0.0012406716
174.6500,-41.6500,0.0014788618
174.6500,-41.5500,0.0016743771
174.6500,-41.4500,0.0017985251
174.6500,-41.3500,0.0016756517
174.6500,-41.2500,0.0013823378
174.6500,-41.1500,0.0010726845
174.6500,-41.0500,0.0007791077
174.6500,-40.9500,0.0005473280
174.6500,-40.8500,0.0004082202
174.6500,-40.7500,0.0003826645
174.6500,-40.6500,0.0004464857
174.6500,-40.5500,0.0005315957
174.6500,-40.4500,0.0005082707
174.6500,-40.3500,0.0004228082
174.6500,-40.2500,0.0003388717
174.6500,-40.1500,0.0002596152
174.6500,-40.0500,0.0001869257
174.6500,-39.9500,0.0001217869
174.7500,-42.1500,0.0001757572
174.7500,-42.0500,0.0003636381
174.7500,-41.9500,0.0006312666
174.7500,-41.8500,0.0009176598
174.7500,-41.7500,0.0012157166
174.7500,-41.6500,0.0015119919
174.7500,-41.5500,0.0017362763
174.7500,-41.4500,0.0018272141
174.7500,-41.3500,0.0017386767
174.7500,-41.2500,0.0015108147
174.7500,-41.1500,0.0012229509
174.7500,-41.0500,0.0009190465
174.7500,-40.9500,0.0006554816
174.7500,-40.8500,0.0005101695
174.7500,-40.7500,0.0004900624
174.7500,-40.6500,0.0005248257
174.7500,-40.5500,0.0005543489
174.7500,-40.4500,0.0005247968
174.7500,-40.3500,0.0004470560
174.7500,-40.2500,0.0003589223
174.7500,-40.1500,0.0002736300
174.7500,-40.0500,0.0001954470
174.7500,-39.9500,0.0001261299
174.8500,-42.1500,0.0001155094
174.8500,-42.0500,0.0003065474
174.8500,-41.9500,0.0005573749
174.8500,-41.8500,0.0008609791
174.8500,-41.7500,0.0012023058
174.8500,-41.6500,0.0015451826
174.8500,-41.5500,0.0018110943
174.8500,-41.4500,0.0018899572
174.8500,-41.3500,0.0018094447
174.8500,-41.2500,0.0016172790
174.8500,-41.1500,0.0013485715
174.8500,-41.0500,0.0010448935
174.8500,-40.9500,0.0007403311
174.8500,-40.8500,0.0005894666
174.8500,-40.7500,0.0005911114
174.8500,-40.6500,0.0006074983
174.8500,-40.5500,0.0005950993
174.8500,-40.4500,0.0005418117
174.8500,-40.3500,0.0004596480
174.8500,-40.2500,0.0003680933
174.8500,-40.1500,0.0002782683
174.8500,-40.0500,0.0001956646
174.8500,-39.9500,0.0001234098
174.8500,-39.8500,0.0000619095
174.9500,-42.0500,0.0002315422
174.9500,-41.9500,0.0004663141
174.9500,-41.8500,0.0007915411
174.9500,-41.7500,0.0011840925
174.9500,-41.6500,0.0015664707
174.9500,-41.5500,0.0018707408
174.9500,-41.4500,0.0019478451
174.9500,-41.3500,0.0018866700
174.9500,-41.2500,0.0017289063
174.9500,-41.1500,0.0014766595
174.9500,-41.0500,0.0011927370
174.9500,-40.9500,0.0009260571
174.9500,-40.8500,0.0007618605
174.9500,-40.7500,0.0007097653
174.9500,-40.6500,0.0007030486
174.9500,-40.5500,0.0006519038
174.9500,-40.4500,0.0005737811
174.9500,-40.3500,0.0004748033
174.9500,-40.2500,0.0003752328
174.9500,-40.1500,0.0002772705
174.9500,-40.0500,0.0001889542
174.9500,-39.9500,0.0001144429
174.9500,-39.8500,0.0000529489
175.0500,-41.9500,0.0003433844
175.0500,-41.8500,0.0006919419
175.0500,-41.7500,0.0011617178
175.0500,-41.6500,0.0015760956
175.0500,-41.5500,0.0018550811
175.0500,-41.4500,0.0019654241
175.0500,-41.3500,0.0019425556
175.0500,-41.2500,0.0018186262
175.0500,-41.1500,0.0015921163
175.0500,-41.0500,0.0013416261
175.0500,-40.9500,0.0011059549
175.0500,-40.8500,0.0009254113
175.0500,-40.7500,0.0008185509
175.0500,-40.6500,0.0007635237
175.0500,-40.5500,0.0007069940
175.0500,-40.4500,0.0006225158
175.0500,-40.3500,0.0005111316
175.0500,-40.2500,0.0003890941
175.0500,-40.1500,0.0002729385
175.0500,-40.0500,0.0001762784
175.0500,-39.9500,0.0001005787
175.0500,-39.8500,0.0000405906
175.0500,-39.7500,0.0000007812
175.1500,-42.0500,0.0001008759
175.1500,-41.9500,0.0002975511
175.1500,-41.8500,0.0006635631
175.1500,-41.7500,0.0011732515
175.1500,-41.6500,0.0016272903
175.1500,-41.5500,0.0018821936
175.1500,-41.4500,0.0019885744
175.1500,-41.3500,0.0019786861
175.1500,-41.2500,0.0018657528
175.1500,-41.1500,0.0016803305
175.1500,-41.0500,0.0014682373
175.1500,-40.9500,0.0012509436
175.1500,-40.8500,0.0010530514
175.1500,-40.7500,0.0009027524
175.1500,-40.6500,0.0008365505
175.1500,-40.5500,0.0007838015
175.1500,-40.4500,0.0006961617
175.1500,-40.3500,0.0005616486
175.1500,-40.2500,0.0004087199
175.1500,-40.1500,0.0002635555
175.1500,-40.0500,0.0001592615
175.1500,-39.9500,0.0000845707
175.1500,-39.8500,0.0000270078
175.1500,-39.7500,0.0000007812
175.1500,-39.6500,0.0000007812
175.2500,-42.0500,0.0000750677
175.2500,-41.9500,0.0003104735
175.2500,-41.8500,0.0006716306
175.2500,-41.7500,0.0011596875
175.2500,-41.6500,0.0016856678
175.2500,-41.5500,0.0018908608
175.2500,-41.4500,0.0020119347
175.2500,-41.3500,0.0020199053
175.2500,-41.2500,0.0019116338
