lon,lat,M5.0,M5.1,M5.2,M5.3,M5.4,M5.5,M5.6,M5.7,M5.8,M5.9,M6.0,M6.1,M6.2,M6.3,M6.4,M6.5,M6.6,M6.7,M6.8,M6.9,M7.0,M7.1,M7.2,M7.3,M7.4, M7.5, M7.6, M7.7, M7.8, M7.9, M8.0, alpha
165.7500,-46.1500,0.0001283120,0.0001294310,0.0001309230,0.0001327880,0.0001342800,0.0001365180,0.0001383830,0.0001395020,0.0001395020,0.0001395020,0.0001391290,0.0001383830,0.0001380100,0.0001376370,0.0001380100,0.0001402480,0.0001436050,0.0001473350,0.0001499460,0.0001503190,0.0001484540,0.0001462160,0.0001447240,0.0001436050,0.0001424860,0.0001413670,0.0001402480,0.0001395020,0.0001395020,0.0001402480,0.0001409940,0.0000
165.8500,-46.2500,0.0001477080,0.0001462160,0.0001454700,0.0001462160,0.0001484540,0.0001510650,0.0001536760,0.0001544220,0.0001544220,0.0001533030,0.0001514380,0.0001488270,0.0001454700,0.0001432320,0.0001439780,0.0001484540,0.0001555410,0.0001633740,0.0001682230,0.0001682230,0.0001637470,0.0001570330,0.0001510650,0.0001469620,0.0001447240,0.0001432320,0.0001424860,0.0001428590,0.0001447240,0.0001477080,0.0001521840,0.0000
165.8500,-46.1500,0.0001551680,0.0001562870,0.0001577790,0.0001600170,0.0001622550,0.0001648660,0.0001667310,0.0001674770,0.0001667310,0.0001656120,0.0001641200,0.0001622550,0.0001600170,0.0001588980,0.0001607630,0.0001659850,0.0001734450,0.0001809050,0.0001853810,0.0001850080,0.0001801590,0.0001738180,0.0001682230,0.0001644930,0.0001618820,0.0001600170,0.0001585250,0.0001581520,0.0001585250,0.0001607630,0.0001633740,0.0000
165.8500,-46.0500,0.0001622550,0.0001648660,0.0001674770,0.0001697150,0.0001715800,0.0001726990,0.0001730720,0.0001730720,0.0001726990,0.0001726990,0.0001730720,0.0001730720,0.0001730720,0.0001738180,0.0001768020,0.0001823970,0.0001894840,0.0001961980,0.0001999280,0.0001991820,0.0001950790,0.0001898570,0.0001857540,0.0001831430,0.0001812780,0.0001794130,0.0001775480,0.0001768020,0.0001771750,0.0001790400,0.0001809050,0.0000
165.8500,-45.9500,0.0001503190,0.0001514380,0.0001529300,0.0001540490,0.0001547950,0.0001547950,0.0001547950,0.0001551680,0.0001551680,0.0001559140,0.0001566600,0.0001574060,0.0001581520,0.0001596440,0.0001626280,0.0001674770,0.0001734450,0.0001782940,0.0001809050,0.0001805320,0.0001779210,0.0001745640,0.0001726990,0.0001715800,0.0001708340,0.0001700880,0.0001689690,0.0001689690,0.0001700880,0.0001723260,0.0001745640,0.0000
165.8500,-45.8500,0.0001477080,0.0001480810,0.0001484540,0.0001488270,0.0001492000,0.0001492000,0.0001492000,0.0001492000,0.0001495730,0.0001499460,0.0001503190,0.0001506920,0.0001514380,0.0001521840,0.0001540490,0.0001570330,0.0001607630,0.0001641200,0.0001656120,0.0001652390,0.0001637470,0.0001622550,0.0001618820,0.0001626280,0.0001630010,0.0001626280,0.0001622550,0.0001626280,0.0001641200,0.0001667310,0.0001697150,0.0000
165.8500,-45.7500,0.0001298040,0.0001298040,0.0001298040,0.0001294310,0.0001294310,0.0001290580,0.0001290580,0.0001290580,0.0001290580,0.0001290580,0.0001294310,0.0001298040,0.0001301770,0.0001301770,0.0001309230,0.0001320420,0.0001339070,0.0001357720,0.0001365180,0.0001361450,0.0001357720,0.0001353990,0.0001368910,0.0001383830,0.0001395020,0.0001395020,0.0001391290,0.0001395020,0.0001413670,0.0001443510,0.0001469620,0.0000
165.9500,-46.3500,0.0001533030,0.0001492000,0.0001462160,0.0001439780,0.0001417400,0.0001383830,0.0001350260,0.0001320420,0.0001298040,0.0001275660,0.0001249550,0.0001208520,0.0001160030,0.0001126460,0.0001122730,0.0001156300,0.0001215980,0.0001283120,0.0001324150,0.0001324150,0.0001283120,0.0001215980,0.0001156300,0.0001115270,0.0001092890,0.0001081700,0.0001077970,0.0001081700,0.0001104080,0.0001141380,0.0001193600,0.0000
165.9500,-46.2500,0.0001775480,0.0001719530,0.0001674770,0.0001644930,0.0001633740,0.0001637470,0.0001644930,0.0001648660,0.0001644930,0.0001630010,0.0001603900,0.0001562870,0.0001506920,0.0001465890,0.0001465890,0.0001506920,0.0001581520,0.0001659850,0.0001704610,0.0001700880,0.0001648660,0.0001577790,0.0001514380,0.0001477080,0.0001458430,0.0001443510,0.0001436050,0.0001439780,0.0001450970,0.0001480810,0.0001518110,0.0000
165.9500,-46.1500,0.0001816510,0.0001816510,0.0001820240,0.0001827700,0.0001838890,0.0001850080,0.0001857540,0.0001857540,0.0001853810,0.0001846350,0.0001831430,0.0001809050,0.0001779210,0.0001760560,0.0001779210,0.0001831430,0.0001913490,0.0001991820,0.0002032850,0.0002021660,0.0001965710,0.0001891110,0.0001831430,0.0001794130,0.0001768020,0.0001745640,0.0001726990,0.0001712070,0.0001712070,0.0001723260,0.0001741910,0.0000
